Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
37.3,745414945,1270,586940.9,6763.5,917,56907221,5644027.3,cudaStreamSynchronize
33.6,672818522,141336,4760.4,4204.0,3213,5929351,32903.5,cudaLaunchKernel
7.3,146780290,55,2668732.5,2280426.0,35741,13481343,2734463.9,cuLibraryLoadData
6.3,126415037,1530,82624.2,13666.5,3185,8583537,288015.8,cudaMemcpyAsync
6.0,120536033,24973,4826.7,4694.0,3231,128528,1345.4,cuLaunchKernelEx
5.1,101884767,224,454842.7,268926.0,2722,9485898,739477.6,cudaMalloc
1.1,22925155,4810,4766.1,4741.0,3528,39861,1041.7,cuLaunchKernel
1.0,19953400,141336,141.2,129.0,37,12000,66.9,cuKernelGetName
0.9,18695319,3432,5447.4,4417.0,3398,2981241,50857.5,cudaLaunchKernelExC
0.4,8044138,49686,161.9,139.0,37,12232,110.8,cuKernelGetAttribute
0.3,6772231,4810,1407.9,666.0,306,1977954,35571.1,cuKernelGetFunction
0.2,3080371,1,3080371.0,3080371.0,3080371,3080371,0.0,cuModuleLoadFatBinary
0.1,2327762,28,83134.4,26310.0,510,539268,133426.5,cuKernelSetAttribute
0.1,1128139,2,564069.5,564069.5,19815,1108324,769692.1,cudaHostAlloc
0.0,793366,1346,589.4,398.0,250,8407,550.1,cudaStreamIsCapturing
0.0,759048,94,8075.0,1819.5,250,481463,49437.6,cuLibraryGetKernel
0.0,571629,3,190543.0,131343.0,26379,413907,200432.0,cuLibraryUnload
0.0,526469,1832,287.4,222.0,92,5852,233.5,cuGetProcAddress_v2
0.0,509794,16,31862.1,3574.0,2694,225481,60462.1,cudaStreamCreateWithFlags
0.0,481324,2,240662.0,240662.0,99046,382278,200275.3,cuModuleLoadData
0.0,56245,132,426.1,264.0,176,18148,1572.3,cudaMemsetAsync
0.0,54984,26,2114.8,1769.0,269,4555,1851.3,cudaStreamGetCaptureInfo
0.0,32880,2,16440.0,16440.0,10574,22306,8295.8,cudaFree
0.0,30849,48,642.7,458.5,389,4148,688.2,cudaOccupancyMaxActiveClusters
0.0,18047,6,3007.8,2866.0,1000,5676,1767.4,cuInit
0.0,16777,19,883.0,362.0,324,4472,1152.1,cudaEventCreateWithFlags
0.0,12967,43,301.6,232.0,185,1880,258.4,cuOccupancyMaxActiveClusters
0.0,10509,3,3503.0,3426.0,3046,4037,500.0,cudaOccupancyAvailableDynamicSMemPerBlock
0.0,6010,5,1202.0,176.0,102,5158,2215.0,cuModuleGetLoadingMode
0.0,3314,4,828.5,453.5,139,2268,971.1,cudaGetDeviceProperties
0.0,1770,2,885.0,885.0,510,1260,530.3,cuOccupancyAvailableDynamicSMemPerBlock
0.0,1677,3,559.0,417.0,371,889,286.7,cudaGetDriverEntryPointByVersion
