Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
11.3,257236352,5070,50737.0,52000.0,18240,89984,7735.0,"void gemv2T_kernel_val<int, int, float, float, float, float, (int)128, (int)16, (int)4, (int)4, (bool)0, (bool)1, cublasGemvParamsEx<int, cublasGemvTensorStridedBatched<const float>, cublasGemvTensorStridedBatched<const float>, cublasGemvTensorStridedBatched<float>, float>>(T13, T6, T6)"
9.4,213384928,702,303967.1,64240.0,57952,983616,343619.9,nvjet_sm110_tst_256x200_64x3_2x1_v_bz_TNT
8.8,200219456,468,427819.4,429488.0,397184,537984,22978.5,nvjet_sm110_tst_256x248_64x3_1x2_h_bz_TNT
7.9,178562432,4680,38154.4,40720.0,33312,62048,4246.9,nvjet_sm110_tst_256x16_64x6_4x1_2cta_v_bz_TNT
4.1,93555465,7722,12115.4,1312.0,1152,388128,60305.0,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BinaryFunctor<c10::BFloat16, c10::BFloat16, c10::BFloat16, at::native::binary_internal::MulFunctor<float>>, std::array<char *, (unsigned long)3>>(int, T2, T3)"
3.6,81764576,2340,34942.1,34496.0,33792,57184,1808.8,nvjet_sm110_tst_192x16_64x8_2x1_2cta_v_bz_splitK_TNT
3.5,80561280,8450,9533.9,2848.0,1344,186080,27492.7,"void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 7)]::operator ()() const::[lambda(float) (instance 1)], std::array<char *, (unsigned long)2>, (int)4, TrivialOffsetCalculator<(int)1, unsigned int>, TrivialOffsetCalculator<(int)1, unsigned int>, at::native::memory::LoadWithCast<(int)1>, at::native::memory::StoreWithCast<(int)1>>(int, T1, T2, T4, T5, T6, T7)"
3.2,72557664,1053,68905.7,68224.0,62048,106784,4428.2,nvjet_sm110_tst_256x128_64x4_1x2_h_bz_splitK_bias_TNT
3.1,71253152,2574,27681.9,5792.0,5632,283488,68885.0,"void <unnamed>::softmax_warp_forward<float, float, float, (int)10, (bool)0, (bool)0, (int)32>(T2 *, const T1 *, int, int, int, const bool *, int, bool)"
3.0,67585106,3627,18633.9,1472.0,1376,263296,54786.9,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::GeluCUDAKernelImpl(at::TensorIteratorBase &, at::native::GeluType)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 4)]::operator ()() const::[lambda(c10::BFloat16) (instance 1)], std::array<char *, (unsigned long)2>>(int, T2, T3)"
3.0,67054112,4212,15919.8,15328.0,12864,33664,2583.5,nvjet_sm110_tst_128x128_64x6_1x2_h_bz_bias_TNT
