Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Range
18.8,4444521550,13,341886273.1,312015288.0,305317863,707717133,109987929.9,:S_model_sample_actions
13.7,3234430262,1,3234430262.0,3234430262.0,3234430262,3234430262,0.0,:inference_test
13.4,3167179892,10,316717989.2,316401067.5,311904264,321720223,3178442.9,:S0_policy_infer_total
10.8,2551590274,130,19627617.5,19567522.5,18941064,29956166,1006597.6,:S3_expert_forward
5.8,1365278000,1,1365278000.0,1365278000.0,1365278000,1365278000,0.0,:warmup
3.2,746017864,1,746017864.0,746017864.0,746017864,746017864,0.0,:warmup_0
2.5,601490608,13,46268508.3,31208103.0,30286194,227784172,54541437.7,:S1_embed_prefix_total
2.5,590859300,39,15150238.5,10171602.0,9637675,201051681,30553940.4,:S1a_siglip_per_image
1.6,379584736,1,379584736.0,379584736.0,379584736,379584736,0.0,:test_0
1.4,336195859,13,25861219.9,16424055.0,15876842,139471813,34136306.7,:S2_paligemma_prefill
1.4,321725640,1,321725640.0,321725640.0,321725640,321725640,0.0,:test_8
1.4,321171662,1,321171662.0,321171662.0,321171662,321171662,0.0,:test_6
1.4,319414277,13,24570329.0,20796528.0,20281370,69713073,13566842.9,:S3_denoise_step_00
1.3,318147875,1,318147875.0,318147875.0,318147875,318147875,0.0,:test_4
1.3,317892717,1,317892717.0,317892717.0,317892717,317892717,0.0,:test_3
1.3,316528125,1,316528125.0,316528125.0,316528125,316528125,0.0,:test_7
1.3,316285028,1,316285028.0,316285028.0,316285028,316285028,0.0,:test_9
1.3,315817774,1,315817774.0,315817774.0,315817774,315817774,0.0,:test_2
1.3,314945061,1,314945061.0,314945061.0,314945061,314945061,0.0,:test_5
1.3,311909598,1,311909598.0,311909598.0,311909598,311909598,0.0,:test_1
1.3,309632931,1,309632931.0,309632931.0,309632931,309632931,0.0,:warmup_2
1.3,309517937,1,309517937.0,309517937.0,309517937,309517937,0.0,:warmup_1
1.1,269008896,13,20692992.0,20585147.0,19956129,22541732,696364.4,:S3_denoise_step_01
1.1,267059294,13,20543022.6,20509139.0,19899259,22175287,605386.0,:S3_denoise_step_05
1.1,266187723,13,20475978.7,20481463.0,19884667,22044130,543915.6,:S3_denoise_step_02
1.1,265925278,13,20455790.6,20374194.0,19799805,22057926,556746.1,:S3_denoise_step_09
1.1,265895778,13,20453521.4,20442833.0,19800361,21998888,625015.5,:S3_denoise_step_08
1.1,265643095,13,20434084.2,20435389.0,19851472,21977936,536751.1,:S3_denoise_step_06
1.1,265403963,13,20415689.5,20450129.0,19886704,21931870,536679.4,:S3_denoise_step_03
1.1,264905363,13,20377335.6,20436667.0,19872888,21463853,425183.9,:S3_denoise_step_07
1.1,264835620,13,20371970.8,20484185.0,19908584,21136769,361061.6,:S3_denoise_step_04
0.0,5883000,286,20569.9,20426.0,14444,69009,5533.0,CCCL:cub::DeviceScan::InclusiveScan
0.0,902538,13,69426.0,68732.0,63667,92769,7521.6,:S4a_obs_preprocess
0.0,723093,13,55622.5,54936.0,50416,67611,4476.9,:S1b_lang_embed
