Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
67.0,6326151473,1696,3730042.1,56824.0,3389,44538907,7555479.4,cudaDeviceSynchronize
13.9,1312956521,1226,1070927.0,7476.5,935,44580398,4731749.3,cudaStreamSynchronize
4.9,458409444,75653,6059.4,4908.0,1092,6037658,45579.4,cudaLaunchKernel
2.3,215500508,42910,5022.2,4482.0,472,72482,3530.9,cuLaunchKernel
2.1,198543436,12386,16029.7,9018.5,3111,8464241,94621.0,cudaMemcpyAsync
2.0,192402019,74813,2571.8,2129.0,1046,8620241,36310.1,cudaEventRecordWithFlags
1.4,134934128,74832,1803.2,1472.0,389,679092,6281.7,cudaEventCreateWithFlags
1.3,123964007,48,2582583.5,2262542.0,38972,8414370,2377828.8,cuLibraryLoadData
1.1,104042236,223,466557.1,253019.0,3694,8629176,698915.9,cudaMalloc
1.0,98077691,398,246426.4,174597.5,74185,20345000,1012103.5,cuModuleLoad
0.7,66677700,74617,893.6,796.0,519,607361,2262.5,cudaEventQuery
0.5,49788658,74812,665.5,555.0,296,675722,2726.7,cudaEventDestroy
0.3,27457424,40,686435.6,106018.5,78425,2767352,844163.4,cudaGraphInstantiateWithFlags
0.3,24448818,468,52241.1,18440.0,10824,305760,54194.9,cudaGraphLaunch
0.3,24411540,76288,320.0,277.0,176,32074,328.2,cudaStreamIsCapturing
0.2,17732410,3842,4615.4,4750.0,981,56917,2932.1,cuLaunchKernelEx
0.1,12235787,15,815719.1,25945.0,23472,10770083,2767842.4,cudaHostAlloc
0.1,10914653,75653,144.3,120.0,37,24101,161.3,cuKernelGetName
0.1,7604937,40,190123.4,34296.0,14185,649547,230596.3,cudaGraphExecDestroy
0.1,6839160,13,526089.2,15667.0,8084,6632945,1834892.2,cudaFreeHost
0.0,4437123,528,8403.6,3838.5,1324,2321519,101026.2,cudaLaunchKernelExC
0.0,4375130,952,4595.7,528.0,268,2145973,86125.4,cuKernelGetFunction
0.0,4217401,128,32948.4,3352.5,2278,830334,88383.0,cudaStreamCreateWithPriority
0.0,2735416,1,2735416.0,2735416.0,2735416,2735416,0.0,cuModuleLoadFatBinary
0.0,2479072,3372,735.2,389.0,213,10352,1261.5,cudaStreamGetCaptureInfo
0.0,2114085,40,52852.1,5513.5,2519,178129,67993.5,cudaGraphDestroy
0.0,1345558,7644,176.0,148.0,37,18778,235.7,cuKernelGetAttribute
0.0,1120676,28,40024.1,20898.0,556,184121,47638.7,cuKernelSetAttribute
0.0,775426,3,258475.3,128204.0,29296,617926,315197.2,cuLibraryUnload
0.0,654387,16,40899.2,4902.5,2991,336528,85030.1,cudaStreamCreateWithFlags
0.0,635823,3,211941.0,19731.0,11426,604666,340135.2,cudaFree
0.0,562463,1832,307.0,250.0,55,7093,263.2,cuGetProcAddress_v2
0.0,509685,40,12742.1,11074.5,10120,32713,4745.4,cudaStreamBeginCapture
0.0,491269,196,2506.5,2203.0,741,8611,1633.5,cudaStreamWaitEvent
0.0,303843,40,7596.1,2417.0,1361,19898,7694.5,cudaStreamEndCapture
0.0,226130,2,113065.0,113065.0,79648,146482,47258.8,cuModuleLoadData
0.0,203371,70,2905.3,1759.0,259,9982,2879.2,cuLibraryGetKernel
0.0,61279,40,1532.0,907.5,731,3556,857.2,cudaGraphGetNodes
0.0,49285,128,385.0,130.0,111,16583,1484.0,cudaMemsetAsync
0.0,43867,80,548.3,509.0,204,1611,350.8,cudaThreadExchangeStreamCaptureMode
0.0,35783,48,745.5,476.5,398,4990,1014.4,cudaOccupancyMaxActiveClusters
0.0,23640,6,3940.0,287.5,84,17796,7060.4,cuModuleGetLoadingMode
0.0,17352,6,2892.0,2888.5,945,4806,1586.3,cuInit
0.0,13904,43,323.3,223.0,139,3240,461.7,cuOccupancyMaxActiveClusters
0.0,13203,3,4401.0,4204.0,4166,4833,374.6,cudaOccupancyAvailableDynamicSMemPerBlock
0.0,6656,6,1109.3,740.5,157,2509,940.5,cudaGetDeviceProperties
0.0,6500,1,6500.0,6500.0,6500,6500,0.0,cudaEventRecord
0.0,1925,2,962.5,962.5,472,1453,693.7,cuOccupancyAvailableDynamicSMemPerBlock
0.0,1518,3,506.0,379.0,278,861,311.6,cudaGetDriverEntryPointByVersion
