Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
85.3,9624580480,74072,129935.5,131776.0,76704,188544,15299.8,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::FillFunctor<int>, std::array<char *, (unsigned long)1>>(int, T2, T3)"
2.2,253402976,1790,141565.9,130976.0,25024,343072,41408.0,triton_red_fused__to_copy__unsafe_view_add_mean_mul_pow_rsqrt_8
1.5,172633568,1493,115628.6,102176.0,23968,290400,40410.9,triton_red_fused__to_copy__unsafe_view_add_mean_mul_pow_rsqrt_7
1.1,128351008,1238,103676.1,85280.0,50400,343904,56296.3,triton_red_fused__to_copy__unsafe_view_add_mean_mul_pow_rsqrt_11
1.1,123198400,1138,108258.7,93856.0,44800,344000,57781.6,triton_red_fused__to_copy__unsafe_view_add_mean_mul_pow_rsqrt_10
1.1,122570880,1133,108182.6,93312.0,44352,355552,57796.4,triton_red_fused__to_copy__unsafe_view_add_mean_mul_pow_rsqrt_9
1.0,109641280,285,384706.2,382560.0,330752,438624,16316.8,triton_poi_fused__unsafe_view_gelu_mul_6
0.8,93490464,1387,67404.8,55648.0,16448,192480,31642.7,triton_red_fused__to_copy__unsafe_view_add_mean_mul_pow_rsqrt_5
0.8,91533472,48,1906947.3,1872864.0,1789280,2080992,86625.2,triton_per_fused_addmm_t_0
0.8,88687102,948,93551.8,84672.0,72160,149952,21402.4,triton_per_fused__softmax__to_copy_add_exp_mul_prepare_softmax_online_sub_view_3
0.4,45943648,1273,36090.8,25344.0,10528,152320,30117.0,triton_red_fused__to_copy_add_mean_mul_pow_rsqrt_0
0.3,34100608,1788,19071.9,2400.0,1632,70048,22340.8,triton_poi_fused__to_copy__unsafe_view_add_bmm_cat_cos_expand_mul_neg_sin_slice_transpose_unsqueeze_view_2
0.3,33552896,654,51304.1,49072.0,7424,83008,10507.7,triton_poi_fused_clone_transpose_view_4
0.3,28296160,646,43802.1,39296.0,16768,88608,14140.7,triton_per_fused__to_copy_addmm_cat_cos_linspace_mul_pow_reciprocal_sin_t_unsqueeze_4
0.2,25241184,957,26375.3,25408.0,9536,44000,3607.9,triton_red_fused__to_copy_add_convolution_embedding_native_layer_norm_transpose_view_4
0.2,21672512,781,27749.7,28352.0,9856,49248,5033.8,triton_red_fused_add_native_layer_norm_view_9
0.2,17955264,611,29386.7,31008.0,11104,53088,7261.4,triton_poi_fused_gelu_view_5
0.2,16933536,639,26500.1,26112.0,9728,43360,4110.0,triton_poi_fused_convolution_0
0.1,16688032,54,309037.6,66576.0,57664,882336,351624.3,nvjet_sm110_tst_256x200_64x3_2x1_v_bz_TNT
0.1,15445792,858,18002.1,19888.0,12032,38528,5116.2,triton_poi_fused__to_copy_cat_cos_linspace_mul_pow_reciprocal_sin_unsqueeze_3
0.1,15082496,36,418958.2,417696.0,396640,448672,11213.9,nvjet_sm110_tst_256x248_64x3_1x2_h_bz_TNT
0.1,12710848,360,35307.9,34112.0,33056,70976,3982.8,nvjet_sm110_tst_256x16_64x6_4x1_2cta_v_bz_TNT
0.1,11214560,781,14359.2,13120.0,10080,36800,2971.3,triton_red_fused_add_native_layer_norm_view_8
0.1,10823616,955,11333.6,11072.0,4544,22048,1612.7,triton_poi_fused_mul_0
0.1,9167040,781,11737.6,11104.0,9280,29056,2207.6,triton_red_fused_add_native_layer_norm_view_7
0.1,9064608,985,9202.6,10976.0,1792,24736,4421.9,triton_poi_fused__scaled_dot_product_flash_attention_clone_transpose_view_2
0.1,8761248,639,13710.9,12992.0,8992,30016,2889.1,triton_red_fused__to_copy_add_convolution_embedding_native_layer_norm_transpose_view_1
0.1,8315776,1028,8089.3,7840.0,3392,24512,2936.4,triton_poi_fused__unsafe_view_cat_transpose_view_5
0.1,8292096,637,13017.4,13184.0,10208,23040,1437.3,triton_poi_fused__to_copy_bitwise_and_le_mul_scalar_tensor_unsqueeze_where_1
0.1,8090816,214,37807.6,37824.0,14784,55872,6346.2,triton_per_fused_addmm_silu_t_5
0.1,8025536,816,9835.2,9376.0,7872,22208,1977.4,triton_poi_fused__to_copy__unsafe_view_add_bmm_cat_cos_expand_mul_neg_sin_slice_transpose_unsqueeze_view_3
0.1,7486624,717,10441.6,10592.0,2336,24096,3463.8,triton_poi_fused_clone_transpose_3
0.1,6974304,781,8930.0,8736.0,6464,20128,1828.0,triton_red_fused_add_native_layer_norm_view_6
0.1,6802240,745,9130.5,8032.0,6368,21760,2426.9,triton_red_fused_add_native_layer_norm_view_10
0.1,6591040,654,10078.0,9408.0,7648,22176,2069.0,triton_poi_fused__to_copy__unsafe_view_add_bmm_cat_cos_expand_mul_neg_sin_slice_transpose_unsqueeze_view_1
0.1,6438592,180,35770.0,35488.0,34240,49824,1576.5,nvjet_sm110_tst_192x16_64x8_2x1_2cta_v_bz_splitK_TNT
