Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Range
22.4,112589702380,13,8660746336.9,132976545.0,132203127,110466691746,30589224879.0,:S_model_sample_actions
22.1,111309468654,1,111309468654.0,111309468654.0,111309468654,111309468654,0.0,:warmup
22.0,110506363645,1,110506363645.0,110506363645.0,110506363645,110506363645,0.0,:warmup_0
8.7,43820490472,13,3370806959.4,1052074.0,906657,43766724778,12137467989.4,:S3_denoise_step_00
7.4,37448130889,130,288062545.3,485342.5,416769,36936272028,3239191688.2,:S3_expert_forward
7.2,36082836163,13,2775602781.8,754806.0,657491,36014708405,9987121551.4,:S2_paligemma_prefill
4.8,23922895482,13,1840222729.4,21891713.0,21776380,23563460516,6527073971.1,:S1_embed_prefix_total
4.0,20114884807,39,515766277.1,720130.0,586259,19946300379,3193270249.3,:S1a_siglip_per_image
0.3,1439852105,1,1439852105.0,1439852105.0,1439852105,1439852105,0.0,:inference_test
0.3,1370969403,10,137096940.3,136946707.5,136228637,139572868,948574.8,:S0_policy_infer_total
0.3,1349203102,13,103784854.0,167343.0,148074,1343656899,372536432.0,:S1b_lang_embed
0.1,663482787,1,663482787.0,663482787.0,663482787,663482787,0.0,:warmup_1
0.1,261380713,13,20106208.7,166296.0,154426,259343594,71881891.0,:S4a_obs_preprocess
0.0,207965367,1,207965367.0,207965367.0,207965367,207965367,0.0,:test_0
0.0,139491557,1,139491557.0,139491557.0,139491557,139491557,0.0,:warmup_2
0.0,137326318,1,137326318.0,137326318.0,137326318,137326318,0.0,:test_1
0.0,137268689,1,137268689.0,137268689.0,137268689,137268689,0.0,:test_6
0.0,137098137,1,137098137.0,137098137.0,137098137,137098137,0.0,:test_7
0.0,136982178,1,136982178.0,136982178.0,136982178,136982178,0.0,:test_2
0.0,136923998,1,136923998.0,136923998.0,136923998,136923998,0.0,:test_3
0.0,136811868,1,136811868.0,136811868.0,136811868,136811868,0.0,:test_8
0.0,136513673,1,136513673.0,136513673.0,136513673,136513673,0.0,:test_4
0.0,136291529,1,136291529.0,136291529.0,136291529,136291529,0.0,:test_5
0.0,136234498,1,136234498.0,136234498.0,136234498,136234498,0.0,:test_9
0.0,72333374,13,5564105.7,743565.0,681259,50788057,14032956.0,:S3_denoise_step_07
0.0,71018972,13,5462997.8,760555.0,712287,50495778,13825037.9,:S3_denoise_step_09
0.0,69120196,13,5316938.2,760935.0,724639,49470705,13584849.2,:S3_denoise_step_08
0.0,68821535,13,5293964.2,740916.0,717870,47164481,13057950.6,:S3_denoise_step_06
0.0,67629302,13,5202254.0,769630.0,733898,45500740,12619893.9,:S3_denoise_step_04
0.0,67551667,13,5196282.1,756584.0,709759,45953240,12723027.1,:S3_denoise_step_05
0.0,65428888,13,5032991.4,782166.0,756343,43262305,12012532.1,:S3_denoise_step_03
0.0,64945537,13,4995810.5,782759.0,750954,42626074,11846165.5,:S3_denoise_step_02
0.0,64030603,13,4925431.0,819991.0,768621,41230314,11470580.0,:S3_denoise_step_01
0.0,77315,2,38657.5,38657.5,22528,54787,22810.6,CCCL:cub::DeviceSelect::Flagged
0.0,72833,2,36416.5,36416.5,20065,52768,23124.5,CCCL:cub::DeviceReduce::Sum
