Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
52.2,641019684,979,654769.9,2648.0,916,48123370,5471398.4,cudaStreamSynchronize
15.6,191290270,1083,176630.0,16175.0,3037,105458193,3217967.7,cudaMemcpyAsync
8.5,104880329,206,509127.8,275115.0,84194,9353925,777724.9,cudaMalloc
4.8,58940683,554,106391.1,81083.0,55407,2611259,118876.5,cuModuleLoadData
2.8,34110343,2,17055171.5,17055171.5,4563352,29546991,17666100.6,cudaMallocAsync
2.5,30746519,7,4392359.9,4417861.0,1116880,6406555,1894553.0,cuLibraryLoadData
2.3,28358376,695,40803.4,23185.0,17278,1643306,100557.2,cuModuleUnload
2.3,27769567,7348,3779.2,2694.0,426,294370,15363.5,cuLaunchKernelEx
1.6,19696753,209,94242.8,63389.0,2528,858704,107436.4,cudaFree
1.5,18767718,299,62768.3,5028.0,3648,3646546,375872.6,cudaLaunchKernel
1.4,17653448,141,125201.8,102685.0,70889,626232,94418.1,cuModuleLoadFatBinary
1.4,17102870,1,17102870.0,17102870.0,17102870,17102870,0.0,cudaGraphInstantiateWithFlags
0.9,10609426,13,816109.7,564074.0,530935,3026537,675958.6,cudaGraphLaunch
0.8,9738477,247,39427.0,22268.0,15120,3322824,216159.5,cuMemcpyAsync
0.4,4588916,1,4588916.0,4588916.0,4588916,4588916,0.0,cudaGraphExecDestroy
0.3,3251789,128,25404.6,3245.0,2203,269000,46831.8,cudaStreamCreateWithPriority
0.2,2062740,1,2062740.0,2062740.0,2062740,2062740,0.0,cudaGraphDestroy
0.1,1674339,54,31006.3,28435.0,20223,57223,9043.4,cuMemcpyDtoHAsync_v2
0.1,1291785,301,4291.6,2694.0,2092,156907,10102.0,cuStreamCreate
0.1,976250,2,488125.0,488125.0,30935,945315,646564.3,cuLibraryUnload
0.1,682318,1164,586.2,389.0,241,10916,645.1,cudaStreamIsCapturing
0.0,581527,128,4543.2,3268.5,658,66093,6253.1,cuLaunchKernel
0.0,560539,301,1862.3,1685.0,1519,10657,718.6,cuStreamDestroy_v2
0.0,468009,7,66858.4,29426.0,4519,322175,113466.2,cudaStreamCreate
0.0,417122,2013,207.2,111.0,64,6074,340.8,cuFuncGetModule
0.0,273922,301,910.0,861.0,806,4592,294.7,cuStreamSynchronize
0.0,194051,475,408.5,306.0,93,15834,752.3,cuGetProcAddress_v2
0.0,140305,1,140305.0,140305.0,140305,140305,0.0,cudaStreamEndCapture
0.0,107261,3,35753.7,46436.0,417,60408,31389.7,cudaMemsetAsync
0.0,90325,3,30108.3,31148.0,19797,39380,9832.8,cudaDeviceSynchronize
0.0,88371,7,12624.4,10805.0,2760,22935,6819.4,cudaStreamDestroy
0.0,76827,299,256.9,167.0,102,2055,252.0,cuKernelGetName
0.0,55221,12,4601.8,2157.0,1009,11287,4135.0,cuLibraryGetKernel
0.0,43834,68,644.6,444.0,370,4648,814.6,cudaOccupancyMaxActiveClusters
0.0,24417,29,842.0,815.0,241,3787,812.8,cudaStreamGetCaptureInfo
0.0,23870,1,23870.0,23870.0,23870,23870,0.0,cudaEventRecord
0.0,22908,1,22908.0,22908.0,22908,22908,0.0,cudaGraphGetNodes
0.0,20917,2,10458.5,10458.5,3426,17491,9945.5,cudaFreeAsync
0.0,20306,1,20306.0,20306.0,20306,20306,0.0,cudaStreamBeginCapture
0.0,16557,4,4139.3,3944.5,3436,5232,789.9,cudaOccupancyAvailableDynamicSMemPerBlock
0.0,9009,1,9009.0,9009.0,9009,9009,0.0,cuEventCreate
0.0,6037,3,2012.3,2195.0,611,3231,1319.5,cudaEventDestroy
0.0,5908,3,1969.3,2463.0,565,2880,1233.9,cudaGetDeviceProperties
0.0,5778,1,5778.0,5778.0,5778,5778,0.0,cudaStreamWaitEvent
0.0,5740,3,1913.3,1083.0,500,4157,1964.8,cudaEventCreateWithFlags
0.0,5315,3,1771.7,315.0,194,4806,2628.5,cuModuleGetLoadingMode
0.0,5176,1,5176.0,5176.0,5176,5176,0.0,cuInit
0.0,4723,2,2361.5,2361.5,2260,2463,143.5,cuCtxSetCurrent
0.0,4426,1,4426.0,4426.0,4426,4426,0.0,cuEventDestroy_v2
0.0,1778,2,889.0,889.0,268,1510,878.2,cudaThreadExchangeStreamCaptureMode
