Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
13.1,6677405,181,36891.7,36256.0,12672,54048,3363.8,cutlass3x_sm100_tensorop_s128x128x32gemm_f8_f8_f32_f16_f16_128x128x128_0_tnn_align16_1sm_bias_f16_relu_valpha_vbeta
7.2,3683840,17,216696.5,214176.0,209056,258752,11440.5,cutlass3x_sm100_bstensorop_s128x128x64gemm_block_scaled_ue4m3xf4_ue4m3xf4_f32_f16_f16_128x128x256_0_tnn_align32_o_vs16_1sm_bias_f16_gelu
7.1,3635808,17,213871.1,214304.0,206560,221120,4188.2,cutlass3x_sm100_bstensorop_s128x128x64gemm_block_scaled_ue4m3xf4_ue4m3xf4_f32_f16_f16_128x128x256_0_tnn_align32_o_vs16_1sm_bias_f16_relu
7.1,3626496,180,20147.2,19728.0,19008,29568,1574.8,__myl_Fc_0xfd463dcc78cc39be96e17ab1952322e9_tensorop64x128_cga1x1_sm1_acc_float_tile_k_count_4_gemm_810_0
5.1,2621568,61,42976.5,41888.0,19648,79232,17247.1,cutlass3x_sm100_tensorop_s128x256x32gemm_f8_f8_f32_f16_f16_128x256x128_0_tnn_align16_1sm_bias_f16_relu_valpha_vbeta
4.3,2201277,180,12229.3,11712.0,11232,23712,1927.2,__myl_Fc_0x04a99b6160b58c6d7039d6c422e9253c_tensorop64x128_cga1x1_sm1_acc_float_tile_k_count_4_gemm_809_0
4.0,2025440,17,119143.5,117632.0,115296,132672,4754.7,cutlass3x_sm100_bstensorop_s256x256x64gemm_block_scaled_ue4m3xf4_ue4m3xf4_f32_f16_f16_256x256x256_0_tnn_align32_o_vs16_2sm_bias_f16_relu
2.9,1480256,16,92516.0,92448.0,90880,95296,1100.2,__myl_MulCastAddMaxrSubExpSumDivMulCastCastMulCast_0x79037174a27b87ac28665bc6398aeaa9_com_vec
2.0,1016320,27,37641.5,37344.0,36384,40544,979.6,cutlass3x_sm100_tensorop_s128x128x32gemm_f8_f8_f32_e4m3_e4m3_128x128x128_0_tnn_align16_1sm_bias_f32_gelu_valpha_vbeta
1.9,959008,27,35518.8,34592.0,28704,49760,3965.7,cutlass3x_sm100_tensorop_s256x256x32gemm_f8_f8_f32_f16_f16_256x256x128_0_tnn_align16_2sm_bias_f16_relu_valpha_vbeta
