Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Range
24.1,899892017,13,69222462.8,48984777.0,48615722,311257824,72723377.7,:S_trt_engine_forward
14.7,550407408,1,550407408.0,550407408.0,550407408,550407408,0.0,:inference_test
13.4,500394758,10,50039475.8,50000847.5,49575462,50818251,335718.6,:S0_policy_infer_total
12.1,452048917,1,452048917.0,452048917.0,452048917,452048917,0.0,:warmup
9.4,350488603,1,350488603.0,350488603.0,350488603,350488603,0.0,:warmup_0
5.7,214318382,2,107159191.0,107159191.0,13938926,200379456,131833363.1,TensorRT:ExecutionContext::enqueueV3
2.7,100437243,1,100437243.0,100437243.0,100437243,100437243,0.0,:test_0
1.6,58768416,2,29384208.0,29384208.0,13905713,44862703,21889897.6,TensorRT:{ForeignNode[/Slice_2.../Add_19]}
1.4,51347656,1,51347656.0,51347656.0,51347656,51347656,0.0,:warmup_1
1.3,50212416,1,50212416.0,50212416.0,50212416,50212416,0.0,:test_9
1.3,50173380,1,50173380.0,50173380.0,50173380,50173380,0.0,:test_1
1.3,50105397,1,50105397.0,50105397.0,50105397,50105397,0.0,:test_4
1.3,50086138,1,50086138.0,50086138.0,50086138,50086138,0.0,:warmup_2
1.3,50065804,1,50065804.0,50065804.0,50065804,50065804,0.0,:test_7
1.3,49956168,1,49956168.0,49956168.0,49956168,49956168,0.0,:test_3
1.3,49919258,1,49919258.0,49919258.0,49919258,49919258,0.0,:test_5
1.3,49878554,1,49878554.0,49878554.0,49878554,49878554,0.0,:test_6
1.3,49743715,1,49743715.0,49743715.0,49743715,49743715,0.0,:test_2
1.3,49579610,1,49579610.0,49579610.0,49579610,49579610,0.0,:test_8
0.0,300740,2,150370.0,150370.0,3861,296879,207195.0,myelin-exec:__myl_Fc_myl0_1764
0.0,297750,2,148875.0,148875.0,2037,295713,207660.3,myelin-exec:__myl_SlicReshSlicNegSlicConcMulMulAddTran_myl0_1564
0.0,290566,2,145283.0,145283.0,4621,285945,198926.1,myelin-exec:__myl_Fc_myl0_1589
0.0,288416,2,144208.0,144208.0,5805,282611,195731.4,myelin-exec:__myl_Fc_myl0_1689
0.0,287723,2,143861.5,143861.5,4371,283352,197269.4,myelin-exec:__myl_Fc_myl0_1614
0.0,287277,2,143638.5,143638.5,3629,283648,198003.3,myelin-exec:/layers.3/self_attn_4/MatMul_myl0_1739
0.0,286824,2,143412.0,143412.0,2991,283833,198585.3,myelin-exec:/layers.15/self_attn_3/MatMul_1_myl0_1639
0.0,285214,2,142607.0,142607.0,1084,284130,200143.7,myelin-exec:__myl_AddCastMulMeanAddSqrtDivMulMulAddCastMulCast_myl0_1664
0.0,283472,2,141736.0,141736.0,1102,282370,198886.5,myelin-exec:__myl_AddCastMulMeanAddSqrtDivMulMulAddCastMulCast_myl0_1714
0.0,264398,2,132199.0,132199.0,2491,261907,183434.8,myelin-exec:__myl_AddMulCastReshTran_myl0_1763
0.0,225851,2,112925.5,112925.5,4231,221620,153717.2,myelin-exec:/layers.12/self_attn_3/MatMul_1_myl0_1588
0.0,224241,2,112120.5,112120.5,2167,222074,155497.7,myelin-exec:__myl_DivMulCastCastMulCastReshReshSlicSlic_myl0_1586
0.0,222361,2,111180.5,111180.5,7491,214870,146639.1,myelin-exec:__myl_Fc_myl0_1686
0.0,221870,2,110935.0,110935.0,5222,216648,149500.8,myelin-exec:__myl_Fc_myl0_1713
0.0,220344,2,110172.0,110172.0,5612,214732,147870.2,myelin-exec:__myl_Fc_myl0_1663
0.0,219713,2,109856.5,109856.5,7898,211815,144191.1,myelin-exec:/layers.16/mlp/gateup_proj_2/MatMul_myl0_1661
0.0,219343,2,109671.5,109671.5,3417,215926,150266.6,myelin-exec:__myl_Fc_myl0_1736
0.0,219296,2,109648.0,109648.0,4092,215204,149278.7,myelin-exec:/layers.4/self_attn_4/MatMul_1_myl0_1761
0.0,217899,2,108949.5,108949.5,4982,212917,147032.2,myelin-exec:__myl_Fc_myl0_1563
0.0,214260,2,107130.0,107130.0,3019,211241,147235.2,myelin-exec:/layers.0/self_attn_4/MatMul_myl0_1688
0.0,211454,2,105727.0,105727.0,1111,210343,147949.4,myelin-exec:__myl_SlicReshTranSlicNegSlicConcMulMulAddCastMulCast_myl0_1738
0.0,211426,2,105713.0,105713.0,2074,209352,146567.7,myelin-exec:__myl_Slic_myl0_1638
0.0,211269,2,105634.5,105634.5,2167,209102,146325.1,myelin-exec:__myl_MulCastAddMulCastAddConcMaxrSubExpSum_myl0_1636
0.0,210814,2,105407.0,105407.0,4583,206231,142586.7,myelin-exec:__myl_Fc_myl0_1711
0.0,210509,2,105254.5,105254.5,1083,209426,147320.7,myelin-exec:__myl_AddCastMulMeanAddSqrtDivMulMulAddCastMulCast_myl0_1613
0.0,209806,2,104903.0,104903.0,5167,204639,141048.0,myelin-exec:__myl_Fc_myl0_1561
0.0,199500,2,99750.0,99750.0,1102,198398,139509.3,myelin-exec:__myl_SlicSlicMulMulMulAddMulTanhAddMulMulMulMulCast_myl0_1611
